qid,brand,entity,news_mom,news_yoy,status
Q60755814,J. Peterman Company,J. Peterman - Topic (wordmark),0%,0%,ok
Q3574548,Zadig & Voltaire,Zadig & Voltaire - Fashion brand,>5000 (breakout),>5000 (breakout),ok
Q12063852,New Look,New Look - Retail chain company,>5000 (breakout),>5000 (breakout),ok
Q1987861,WE,WE - Clothing retail company,>5000 (breakout),>5000 (breakout),ok
Q4176650,Tiger of Sweden,Tiger of Sweden - Clothing company,0%,0%,ok
Q7310479,Reiss,Reiss - Fashion company,0%,0%,ok
Q23893788,Ivy Park,Ivy Park - Topic (wordmark),0%,0%,ok
Q19573665,Peter England,Peter England - Topic (wordmark),0%,0%,ok
Q17101930,Jil Sander,Jil Sander - Topic (wordmark),>5000 (breakout),>5000 (breakout),ok
Q3516993,Tecnifibre,Tecnifibre - Sports equipment company,0%,0%,ok
Q1485347,Skagen Designs,Skagen Denmark - Company,>5000 (breakout),>5000 (breakout),ok
Q3905226,PINKO,Pinko - Fashion,>5000 (breakout),>5000 (breakout),ok
Q18577819,Blanc & Eclare,Blanc & Eclare - Topic (wordmark),0%,0%,ok
Q1371302,Takko Fashion,Takko - Chain,>5000 (breakout),>5000 (breakout),ok
Q7488518,Shanghai Tang,Shanghai Tang - Company,0%,0%,ok
Q1373540,Frederick's of Hollywood,Frederick's of Hollywood - Company,0%,0%,ok
Q138543842,Matières Fécales,,,,no-data
Q7747373,The Limited,The Limited - Clothing company,0%,0%,ok
Q42306166,Snipes,Snipes - Company,+350%,>5000 (breakout),ok
Q1783759,Kookai,Kookai - Topic (wordmark),>5000 (breakout),>5000 (breakout),ok
Q2475146,Ulla Popken,Ulla Popken - Clothing company,>5000 (breakout),>5000 (breakout),ok
Q3641225,Blufin,Blufin - Fashion company,0%,0%,ok
Q6756978,Marchesa,Marchesa - Brand,0%,0%,ok
Q5709676,Helmut Lang,Helmut Lang - Fashion brand,0%,0%,ok
Q431607,Wolford,Wolford - Underwear company,0%,0%,ok
