qid,brand,entity,search_mom,search_yoy,news_mom,news_yoy,status
Q3327046,OYSHO,Oysho - Chain,+60%,+20%,,,ok
Q588001,Geox,Geox - Shoe manufacturing company,-1%,+80%,,,ok
Q1027874,Oniverse,Oniverse - Retail company,-30%,-5%,,,ok
Q658961,Piaget,Piaget SA - Manufacturing company,-10%,-20%,,,ok
Q593680,Borsalino,Borsalino - Fashion company,>5000 (breakout),0%,,,ok
Q2736351,Agatha Ruiz de la Prada,Agatha Ruiz de la Prada - Spanish fashion designer,-8%,-30%,,,ok
Q664543,Deichmann SE,Deichmann SE - Company,+10%,+3%,,,ok
Q1361595,Errea,Errea - Sports equipment company,+60%,-20%,,,ok
Q3322945,Stradivarius,Stradivarius - Clothing retail company,-2%,-5%,,,ok
Q83750,Desigual,Desigual - Fashion company,+50%,+250%,,,ok
Q5213855,Jimmy Choo Ltd,Jimmy Choo - Fashion house,-60%,-4%,,,ok
Q1400977,Missoni,Missoni - Fashion company,-30%,+50%,,,ok
Q2456630,Trussardi,Trussardi - Company,-20%,-7%,,,ok
Q2263500,Ellesse,Ellesse - Company,+6%,+1050%,,,ok
Q429204,C.P. Company,C.P. Company - Company,+200%,+170%,,,ok
Q60772401,COS,COS - Fashion brand,+4%,-7%,,,ok
Q6077665,Jack & Jones,Jack & Jones - Topic (wordmark),-7%,-10%,,,ok
Q105476592,Tom Ford,Tom Ford - Fashion brand,-1%,-10%,,,ok
Q29109956,Vetements,Vetements - Fashion company,+10%,-80%,,,ok
Q4115012,Giordano,Giordano International - Retail company,+3%,+5%,,,ok
Q1921997,Merrell,Merrell - Footwear company,+2%,+80%,,,ok
Q6981479,Nautica,Nautica - Apparel company,0%,-10%,,,ok
Q3128675,Havaianas,Havaianas - Topic (wordmark),-20%,+40%,,,ok
Q3645582,Brunello Cucinelli,Brunello Cucinelli - Brand,-6%,+4%,,,ok
Q821969,Berluti,Berluti - Topic (wordmark),-10%,-9%,,,ok
Q5370765,J.Crew,J.Crew - Specialty retail company,+7%,-10%,,,ok
Q4791147,Aritzia,Aritzia - Clothing retail company,+9%,-3%,,,ok
Q883965,KiK,KiK - Discount store chain,+20%,+9%,,,ok
Q3192653,Kangol,Kangol - Clothing company,+110%,+3800%,,,ok
Q211951,ASOS,ASOS - Fashion company,-2%,+20%,,,ok
Q3196299,Kiabi,Kiabi - Topic (wordmark),+5%,+10%,,,ok
Q571206,Tom Tailor,Tom Tailor - Company,-2%,-50%,,,ok
Q28224724,Golden Goose,Golden Goose - Fashion company,+10%,-10%,,,ok
Q1360940,Orbea,Orbea - Corporation,-20%,>5000 (breakout),,,ok
Q3197595,Kiton,Kiton - Fashion company,-60%,+1150%,,,ok
Q1784995,Alfred Dunhill,Alfred Dunhill - Company,+10%,+1%,,,ok
Q1568588,Juicy Couture,Juicy Couture - Dress company,+30%,-60%,,,ok
Q1056200,Cerruti 1881,Cerruti - Fashion brand,+50%,-3%,,,ok
Q1893576,Topshop,Topshop - Online retail company,-10%,-60%,,,ok
Q121878733,Vuori,Vuori - Clothing company,+10%,+30%,,,ok
Q65090803,Fashion Nova,Fashion Nova - Retail company,+1%,+4500%,,,ok
Q600986,Escada SE,Escada - Clothing retail company,+20%,+1800%,,,ok
Q265056,s.Oliver,s.Oliver - Company,-9%,-10%,,,ok
Q305404,Intimissimi,Intimissimi - Topic (wordmark),-10%,+10%,,,ok
Q21809354,Reserved,Reserved - Topic (wordmark),-3%,+4%,,,ok
Q7131643,Pantaloons,Pantaloons - Topic (wordmark),-10%,+20%,,,ok
Q924963,Charles Tyrwhitt,Charles Tyrwhitt - Clothing business company,-20%,+20%,,,ok
Q835487,MCM Worldwide,MCM Worldwide - Topic (wordmark),-10%,-20%,,,ok
Q2749082,Lord & Taylor,Lord & Taylor - Online store company,-20%,+20%,,,ok
Q1281935,Ecko Unltd.,Ecko Unltd. - Topic (wordmark),+20%,>5000 (breakout),,,ok
