qid,brand,description,sitelinks,en_title,n_wikipedias,review_flag,pv_median,trends_score,news_score,wiki_mom,wiki_yoy,wiki_latest,search_mom,search_yoy,news_mom,news_yoy,elig_pv,elig_trends,elig_news,trends_ratio,news_ratio,pv_ratio,sources,attention,breadth,raw,rank,interest_index,tier
Q743497,Neiman Marcus,American luxury specialty department store,13.0,Neiman Marcus,12,,11164.0,,,-6%,-24%,8862.0,-6%,-30%,>5000 (breakout),>5000 (breakout),True,False,False,0.0,0.0,0.3260226462066034,pv,0.3260226462066034,0.40048856247679027,0.3371925336471314,61,34.4,B
Q1156731,Mizuno,Japanese sports equipment and sportswear company,29.0,Mizuno,28,,18837.0,142.4,81.21,-1%,-7%,18467.0,0%,-7%,+1650%,>5000 (breakout),True,True,True,0.2908032136893875,0.19699034849140856,0.42349054941340597,trends+news+pv,0.2891968212747975,0.5981601002283233,0.33554131311782637,62,34.2,B
Q1126126,Dr. Martens,footwear brand,34.0,Dr. Martens,32,,26311.0,57.6,,+7%,-17%,19131.0,+5%,-20%,>5000 (breakout),>5000 (breakout),True,True,False,0.18495047400587233,0.0,0.5005028231277485,trends+pv,0.2751082880406941,0.6476761426551606,0.3309934662328641,63,33.8,B
Q2855977,Slazenger,British business and sports brand,19.0,Slazenger,18,,9388.0,,,+37%,-16%,20633.0,-30%,>5000 (breakout),0%,0%,True,False,False,0.0,0.0,0.2989677855655377,pv,0.2989677855655377,0.48416706309510354,0.32674767719497255,64,33.3,B
Q5512642,GU,Japanese clothing brand,8.0,GU (retailer),7,,11056.0,,,+10%,-11%,9512.0,-10%,-9%,+500%,>5000 (breakout),True,False,False,0.0,0.0,0.324441850065616,pv,0.324441850065616,0.3141690761599811,0.3229009339797707,65,32.9,C
Q926575,Fendi,Italian enterprise and fashion house,44.0,Fendi,43,,23572.0,84.57,36.53,+10%,-15%,18339.0,-1%,-8%,>5000 (breakout),>5000 (breakout),True,True,True,0.22410542628886204,0.13211892439461892,0.4737356527456777,trends+news+pv,0.2464355210119522,0.7367917930349712,0.31998896181540504,66,32.6,C
Q844805,Dillard's,"department store (clothes, shoes, accessories)",11.0,Dillard's,10,,10183.0,,,+12%,-18%,8644.0,+7%,-9%,+750%,>5000 (breakout),True,False,False,0.0,0.0,0.31136925394524495,pv,0.31136925394524495,0.3683958965174856,0.31992325033108104,67,32.6,C
Q1132272,PVH Corp.,American clothing company,17.0,PVH Corp.,17,,9014.0,,,-2%,-25%,7090.0,-10%,-20%,>5000 (breakout),>5000 (breakout),True,False,False,0.0,0.0,0.2929521104638745,pv,0.2929521104638745,0.45797619248420973,0.31770572276692477,68,32.4,C
Q1066858,Tiffany & Co.,American multinational luxury jewelry and specialty retailer,46.0,Tiffany & Co.,46,,29157.0,26.29,,+7%,-52%,26094.0,+20%,+3%,>5000 (breakout),>5000 (breakout),True,True,False,0.12495093205560202,0.0,0.5268770389295728,trends+pv,0.23978696259102228,0.7533509795490358,0.3168215651347243,69,32.3,C
Q604667,Emilio Pucci,"Italian noble, fashion designer and politician (1914-1992)",18.0,Emilio Pucci,17,,8659.0,,,-7%,-22%,7528.0,-20%,+300%,>5000 (breakout),>5000 (breakout),True,False,False,0.0,0.0,0.28712547324898813,pv,0.28712547324898813,0.47125361423997153,0.31474469439763564,70,32.1,C
Q759210,Givenchy,French luxury brand,46.0,Givenchy,45,,18264.0,88.0,36.53,-5%,-24%,13465.0,+1%,-8%,+3200%,>5000 (breakout),True,True,True,0.22860490425166272,0.13211892439461892,0.4169997584833961,trends+news+pv,0.23733808114089627,0.7533509795490358,0.3147400159021172,71,32.1,C
Q482539,Fila,South Korean clothing and consumer goods manufacturer,40.0,Fila,39,,26100.0,56.46,68.86,-9%,-21%,20458.0,+1%,+160%,+500%,>5000 (breakout),True,True,True,0.18311108833031536,0.18139432775338965,0.4984919023175189,trends+news+pv,0.24567222295467833,0.7025034107220263,0.3141969011197805,72,32.1,C
Q948531,Celine,French luxury fashion house,39.0,Celine (brand),38,,13024.0,97.6,73.06,-11%,-47%,11616.0,-5%,-20%,+3100%,>5000 (breakout),True,True,True,0.2407515632771911,0.1868443747250156,0.35213569294571856,trends+news+pv,0.24685623264524398,0.6936665380600233,0.3138777784574609,73,32.0,C
